"Savitaipale";"Väkiluku";3216
"Savonlinna";"Väkiluku";31843
"Savukoski";"Väkiluku";978
"Seinäjoki";"Väkiluku";66160
"Sievi";"Väkiluku";4713
"Siikainen";"Väkiluku";1283
"Siikajoki";"Väkiluku";4837
"Siikalatva";"Väkiluku";4931
"Siilinjärvi";"Väkiluku";21290
"Simo";"Väkiluku";2828
"Sipoo";"Väkiluku";22595
"Siuntio";"Väkiluku";6158
"Sodankylä";"Väkiluku";8126
"Soini";"Väkiluku";1873
"Somero";"Väkiluku";8410
"Sonkajärvi";"Väkiluku";3637
"Sotkamo";"Väkiluku";10274
"Sottunga";"Väkiluku";115
"Sulkava";"Väkiluku";2368
"Sund";"Väkiluku";995
"Suomussalmi";"Väkiluku";7172
"Suonenjoki";"Väkiluku";6708
"Sysmä";"Väkiluku";3496
"Säkylä";"Väkiluku";6377
"Taipalsaari";"Väkiluku";4625
"Taivalkoski";"Väkiluku";3731
"Taivassalo";"Väkiluku";1705
"Tammela";"Väkiluku";5844
"Tampere";"Väkiluku";255050
"Tervo";"Väkiluku";1412
"Tervola";"Väkiluku";2831
"Teuva";"Väkiluku";4758
"Tohmajärvi";"Väkiluku";4066
"Toholampi";"Väkiluku";2849
"Toivakka";"Väkiluku";2368
"Tornio";"Väkiluku";21018
"Turku";"Väkiluku";201863
"Tuusniemi";"Väkiluku";2313
"Tuusula";"Väkiluku";41338
"Tyrnävä";"Väkiluku";6525
"Ulvila";"Väkiluku";12533
"Urjala";"Väkiluku";4568
"Utajärvi";"Väkiluku";2491
"Utsjoki";"Väkiluku";1139
"Uurainen";"Väkiluku";3615
"Uusikaarlepyy";"Väkiluku";7500
"Uusikaupunki";"Väkiluku";14938
"Vaala";"Väkiluku";2589
"Vaasa";"Väkiluku";68956
"Valkeakoski";"Väkiluku";20694
"Vantaa";"Väkiluku";247443
"Varkaus";"Väkiluku";19727
"Vehmaa";"Väkiluku";2245
"Vesanto";"Väkiluku";1895
"Vesilahti";"Väkiluku";4469
"Veteli";"Väkiluku";2936
"Vieremä";"Väkiluku";3387
"Vihti";"Väkiluku";28811
"Viitasaari";"Väkiluku";5877
"Vimpeli";"Väkiluku";2656
"Virolahti";"Väkiluku";2927
"Virrat";"Väkiluku";6275
"Vårdö";"Väkiluku";471
"Vöyri";"Väkiluku";6291
"Ylitornio";"Väkiluku";3765
"Ylivieska";"Väkiluku";15369
"Ylöjärvi";"Väkiluku";33677
"Ypäjä";"Väkiluku";2207
"Ähtäri";"Väkiluku";5316
"Äänekoski";"Väkiluku";17971
